ag,Aguilar
hba0v,High Bridge Non-Print Media
hbar,High Bridge Adult Reference
hbj,High Bridge Children
hbj01,High Bridge Children's Reference
hbj0a,High Bridge Children's Easy Book
hbj0f,High Bridge Children's Fiction
hbj0h,High Bridge Children's Holiday Book
hbj0i,High Bridge Children's Picture Book
hbj0l,High Bridge Children's World Languages
hbj0n,High Bridge Children's Non-Fiction
hbj0t,High Bridge Children's Fairy Tale
hbj0v,High Bridge Children's Non-Print Media
hbj0y,High Bridge Children's Young Reader
hbjr,High Bridge Children's Reference
hby,High Bridge Young Adult
hby01,High Bridge YA Reference
hby0f,High Bridge YA Fiction
hby0l,High Bridge YA World Languages
hby0n,High Bridge YA Non-Fiction
hby0v,High Bridge YA Non-Print Media
hbyr,High Bridge Young Adult Reference
hbzzz,High Bridge (error code)
hd,125th Street
hda,125th Street Adult
hda01,125th Street Reference
hda03,125th Street Closed Shelf Reference
hda0f,125th Street Fiction
hda0l,125th Street World Languages
hda0n,125th Street Non-Fiction
hda0v,125th Street Non-Print Media
hdar,125th Street Adult Reference
hdj,125th Street Children
hdj01,125th Street Children's Reference
hdj0a,125th Street Children's Easy Book
hdj0f,125th Street Children's Fiction
hdj0h,125th Street Children's Holiday Book
hdj0i,125th Street Children's Picture Book
hdj0l,125th Street Children's World Languages
hdj0n,125th Street Children's Non-Fiction
hdj0t,125th Street Children's Fairy Tale
hdj0v,125th Street Children's Non-Print Media
hdj0y,125th Street Children's Young Reader
hdjr,125th Street Children's Reference
hdy,125th Street Young Adult
hdy01,125th Street YA Reference
hdy0f,125th Street YA Fiction
hdy0l,125th Street YA World Languages
hdy0n,125th Street YA Non-Fiction
hdy0v,125th Street YA Non-Print Media
hdyr,125th Street Young Adult Reference
hdzzz,125th Street (error code)
hf,Hamilton Fish Park
hfa,Hamilton Fish Park Adult
hfa01,Hamilton Fish Park Reference
hfa03,Hamilton Fish Park Closed Shelf Reference
hfa0f,Hamilton Fish Park Fiction
hfa0l,Hamilton Fish Park World Languages
hfa0n,Hamilton Fish Park Non-Fiction
hfa0v,Hamilton Fish Park Non-Print Media
hfar,Hamilton Fish Park Adult Reference
hfj,Hamilton Fish Park Children
hfj01,Hamilton Fish Park Children's Reference
hfj0a,Hamilton Fish Park Children's Easy Book
hfj0f,Hamilton Fish Park Children's Fiction
hfj0h,Hamilton Fish Park Children's Holiday Book
hfj0i,Hamilton Fish Park Children's Picture Book
hfj0l,Hamilton Fish Park Children's World Languages
hfj0n,Hamilton Fish Park Children's Non-Fiction
hfj0t,Hamilton Fish Park Children's Fairy Tale
hfj0v,Hamilton Fish Park Children's Non-Print Media
hfj0y,Hamilton Fish Park Children's Young Reader
hfjr,Hamilton Fish Park Children's Reference
hfy,Hamilton Fish Park Young Adult
hfy01,Hamilton Fish Park YA Reference
hfy0f,Hamilton Fish Park YA Fiction
hfy0l,Hamilton Fish Park YA World Languages
hfy0n,Hamilton Fish Park YA Non-Fiction
hfy0v,Hamilton Fish Park YA Non-Print Media
hfyr,Hamilton Fish Park Young Adult Reference
hfzzz,Hamilton Fish Park (error code)
hg,Hamilton Grange
hga,Hamilton Grange Adult
hga01,Hamilton Grange Reference
hga03,Hamilton Grange Closed Shelf Reference
hga0f,Hamilton Grange Fiction
hga0l,Hamilton Grange World Languages
hga0n,Hamilton Grange Non-Fiction
hga0v,Hamilton Grange Non-Print Media
hgar,Hamilton Grange Adult Reference
hgj,Hamilton Grange Children
hgj01,Hamilton Grange Children's Reference
hgj0a,Hamilton Grange Children's Easy Book
hgj0f,Hamilton Grange Children's Fiction
hgj0h,Hamilton Grange Children's Holiday Book
hgj0i,Hamilton Grange Children's Picture Book
hgj0l,Hamilton Grange Children's World Languages
hgj0n,Hamilton Grange Children's Non-Fiction
hgj0t,Hamilton Grange Children's Fairy Tale
hgj0v,Hamilton Grange Children's Non-Print Media
hgj0y,Hamilton Grange Children's Young Reader
hgjr,Hamilton Grange Children's Reference
hgy,Hamilton Grange Young Adult
hgy01,Hamilton Grange YA Reference
hgy0f,Hamilton Grange YA Fiction
hgy0l,Hamilton Grange YA World Languages
hgy0n,Hamilton Grange YA Non-Fiction
hgy0v,Hamilton Grange YA Non-Print Media
hgyr,Hamilton Grange Young Adult Reference
hgzzz,Hamilton Grange (error code)
hk,Huguenot Park
hka,Huguenot Park Adult
hka01,Huguenot Park Reference
hka03,Huguenot Park Closed Shelf Reference
hka0f,Huguenot Park Fiction
hka0l,Huguenot Park World Languages
hka0n,Huguenot Park Non-Fiction
hka0v,Huguenot Park Non-Print Media
hkar,Huguenot Park Adult Reference
hkj,Huguenot Park Children
hkj01,Huguenot Park Children's Reference
hkj0a,Huguenot Park Children's Easy Book
hkj0f,Huguenot Park Children's Fiction
hkj0h,Huguenot Park Children's Holiday Book
hkj0i,Huguenot Park Children's Picture Book
hkj0l,Huguenot Park Children's World Languages
hkj0n,Huguenot Park Children's Non-Fiction
hkj0t,Huguenot Park Children's Fairy Tale
hkj0v,Huguenot Park Children's Non-Print Media
hkj0y,Huguenot Park Children's Young Reader
hkjr,Huguenot Park Children's Reference
hky,Huguenot Park Young Adult
hky01,Huguenot Park YA Reference
hky0f,Huguenot Park YA Fiction
hky0l,Huguenot Park YA World Languages
hky0n,Huguenot Park YA Non-Fiction
hky0v,Huguenot Park YA Non-Print Media
hkyr,Huguenot Park Young Adult Reference
hkzzz,Huguenot Park (error code)
hl,Harlem
hla,Harlem Adult
hla01,Harlem Reference
hla03,Harlem Closed Shelf Reference
hla0f,Harlem Fiction
hla0l,Harlem World Languages
hla0n,Harlem Non-Fiction
hla0v,Harlem Non-Print Media
hla0w,Harlem Center for Reading & Writing
hlar,Harlem Adult Reference
hlj,Harlem Children
hlj01,Harlem Children's Reference
hlj0a,Harlem Children's Easy Book
hlj0f,Harlem Children's Fiction
hlj0h,Harlem Children's Holiday Book
hlj0i,Harlem Children's Picture Book
hlj0l,Harlem Children's World Languages
hlj0n,Harlem Children's Non-Fiction
hlj0t,Harlem Children's Fairy Tale
hlj0v,Harlem Children's Non-Print Media
hlj0y,Harlem Children's Young Reader
hljr,Harlem Children's Reference
hly,Harlem Young Adult
hly01,Harlem YA Reference
hly0f,Harlem YA Fiction
hly0l,Harlem YA World Languages
hly0n,Harlem YA Non-Fiction
hly0v,Harlem YA Non-Print Media
hlyr,Harlem Young Adult Reference
hlzzz,Harlem (error code)
hp,Hudson Park
hpa,Hudson Park Adult
hpa01,Hudson Park Reference
hpa03,Hudson Park Closed Shelf Reference
hpa0f,Hudson Park Fiction
hpa0l,Hudson Park World Languages
hpa0n,Hudson Park Non-Fiction
hpa0v,Hudson Park Non-Print Media
hpar,Hudson Park Adult Reference
hpj,Hudson Park Children
hpj01,Hudson Park Children's Reference
hpj0a,Hudson Park Children's Easy Book
hpj0f,Hudson Park Children's Fiction
hpj0h,Hudson Park Children's Holiday Book
hpj0i,Hudson Park Children's Picture Book
hpj0l,Hudson Park Children's World Languages
hpj0n,Hudson Park Children's Non-Fiction
hpj0t,Hudson Park Children's Fairy Tale
hpj0v,Hudson Park Children's Non-Print Media
hpj0y,Hudson Park Children's Young Reader
hpjr,Hudson Park Children's Reference
hpy,Hudson Park Young Adult
hpy01,Hudson Park YA Reference
hpy0f,Hudson Park YA Fiction
hpy0l,Hudson Park YA World Languages
hpy0n,Hudson Park YA Non-Fiction
hpy0v,Hudson Park YA Non-Print Media
hpyr,Hudson Park Young Adult Reference
hpzzz,Hudson Park (error code)
hs,Hunt's Point
hsa,Hunt's Point Adult
hsa01,Hunt's Point Reference
hsa03,Hunt's Point Closed Shelf Reference
hsa0f,Hunt's Point Fiction
hsa0l,Hunt's Point World Languages
hsa0n,Hunt's Point Non-Fiction
hsa0v,Hunt's Point Non-Print Media
hsar,Hunt's Point Adult Reference
hsj,Hunt's Point Children
hsj01,Hunt's Point Children's Reference
hsj0a,Hunt's Point Children's Easy Book
hsj0f,Hunt's Point Children's Fiction
hsj0h,Hunt's Point Children's Holiday Book
hsj0i,Hunt's Point Children's Picture Book
hsj0l,Hunt's Point Children's World Languages
hsj0n,Hunt's Point Children's Non-Fiction
hsj0t,Hunt's Point Children's Fairy Tale
hsj0v,Hunt's Point Children's Non-Print Media
hsj0y,Hunt's Point Children's Young Reader
hsjr,Hunt's Point Children's Reference
hsy,Hunt's Point Young Adult
hsy01,Hunt's Point YA Reference
hsy0f,Hunt's Point YA Fiction
hsy0l,Hunt's Point YA World Languages
hsy0n,Hunt's Point YA Non-Fiction
hsy0v,Hunt's Point YA Non-Print Media
hsyr,Hunt's Point Young Adult Reference
hszzz,Hunt's Point (error code)
ht,Countee Cullen
hta,Countee Cullen Adult
hta01,Countee Cullen Reference
hta03,Countee Cullen Closed Shelf Reference
hta0f,Countee Cullen Fiction
hta0l,Countee Cullen World Languages
hta0n,Countee Cullen Non-Fiction
hta0v,Countee Cullen Non-Print Media
htar,Countee Cullen Adult Reference
htj,Countee Cullen Children
htj01,Countee Cullen Children's Reference
htj0a,Countee Cullen Children's Easy Book
htj0f,Countee Cullen Children's Fiction
htj0h,Countee Cullen Children's Holiday Book
htj0i,Countee Cullen Children's Picture Book
htj0l,Countee Cullen Children's World Languages
htj0n,Countee Cullen Children's Non-Fiction
htj0t,Countee Cullen Children's Fairy Tale
htj0v,Countee Cullen Children's Non-Print Media
htj0y,Countee Cullen Children's Young Reader
htjr,Countee Cullen Children's Reference
hty,Countee Cullen Young Adult
hty01,Countee Cullen YA Reference
hty0f,Countee Cullen YA Fiction
hty0l,Countee Cullen YA World Languages
hty0n,Countee Cullen YA Non-Fiction
hty0v,Countee Cullen YA Non-Print Media
htyr,Countee Cullen Young Adult Reference
htzzz,Countee Cullen (error code)
hu,115th Street
hua,115th Street Adult
hua01,115th Street Reference
hua03,115th Street Closed Shelf Reference
hua0f,115th Street Fiction
hua0l,115th Street World Languages
hua0n,115th Street Non-Fiction
hua0v,115th Street Non-Print Media
huar,115th Street Adult Reference
huj,115th Street Children
huj01,115th Street Children's Reference
huj0a,115th Street Children's Easy Book
huj0f,115th Street Children's Fiction
huj0h,115th Street Children's Holiday Book
huj0i,115th Street Children's Picture Book
huj0l,115th Street Children's World Languages
huj0n,115th Street Children's Non-Fiction
huj0t,115th Street Children's Fairy Tale
huj0v,115th Street Children's Non-Print Media
huj0y,115th Street Children's Young Reader
hujr,115th Street Children's Reference
huy,115th Street Young Adult
huy01,115th Street YA Reference
huy0f,115th Street YA Fiction
huy0l,115th Street YA World Languages
huy0n,115th Street YA Non-Fiction
huy0v,115th Street YA Non-Print Media
huyr,115th Street Young Adult Reference
huzzz,115th Street (error code)
ia,Electronic Material for Adults
iarch,Research Electronic materials for Adults
iaslr,SIBL Research Electronic Material for Adults
ij,Electronic Material for Children
in,Inwood
ina,Inwood Adult
ina01,Inwood Reference
ina03,Inwood Closed Shelf Reference
ina0f,Inwood Fiction
ina0l,Inwood World Languages
ina0n,Inwood Non-Fiction
ina0v,Inwood Non-Print Media
inar,Inwood Adult Reference
inj,Inwood Children
inj01,Inwood Children's Reference
inj0a,Inwood Children's Easy Book
inj0f,Inwood Children's Fiction
inj0h,Inwood Children's Holiday Book
inj0i,Inwood Children's Picture Book
inj0l,Inwood Children's World Languages
inj0n,Inwood Children's Non-Fiction
inj0t,Inwood Children's Fairy Tale
inj0v,Inwood Children's Non-Print Media
inj0y,Inwood Children's Young Reader
injr,Inwood Children's Reference
iny,Inwood Young Adult
iny01,Inwood YA Reference
iny0f,Inwood YA Fiction
iny0l,Inwood YA World Languages
iny0n,Inwood YA Non-Fiction
iny0v,Inwood YA Non-Print Media
inyr,Inwood Young Adult Reference
inzzz,Inwood (error code)
jm,Jefferson Market
jma,Jefferson Market Adult
jma01,Jefferson Market Reference
jma03,Jefferson Market Closed Shelf Reference
jma0f,Jefferson Market Fiction
jma0l,Jefferson Market World Languages
jma0n,Jefferson Market Non-Fiction
jma0v,Jefferson Market Non-Print Media
jmar,Jefferson Market Adult Reference
jmj,Jefferson Market Children
jmj01,Jefferson Market Children's Reference
jmj0a,Jefferson Market Children's Easy Book
jmj0f,Jefferson Market Children's Fiction
jmj0h,Jefferson Market Children's Holiday Book
jmj0i,Jefferson Market Children's Picture Book
jmj0l,Jefferson Market Children's World Languages
jmj0n,Jefferson Market Children's Non-Fiction
jmj0t,Jefferson Market Children's Fairy Tale
jmj0v,Jefferson Market Children's Non-Print Media
jmj0y,Jefferson Market Children's Young Reader
jmjr,Jefferson Market Children's Reference
jmy,Jefferson Market Young Adult
jmy01,Jefferson Market YA Reference
jmy0f,Jefferson Market YA Fiction
jmy0l,Jefferson Market YA World Languages
jmy0n,Jefferson Market YA Non-Fiction
jmy0v,Jefferson Market YA Non-Print Media
jmyr,Jefferson Market Young Adult Reference
jmzzz,Jefferson Market (error code)
jp,Jerome Park
jpa,Jerome Park Adult
jpa01,Jerome Park Reference
jpa03,Jerome Park Closed Shelf Reference
jpa0f,Jerome Park Fiction
jpa0l,Jerome Park World Languages
jpa0n,Jerome Park Non-Fiction
jpa0v,Jerome Park Non-Print Media
jpar,Jerome Park Adult Reference
jpj,Jerome Park Children
jpj01,Jerome Park Children's Reference
jpj0a,Jerome Park Children's Easy Book
jpj0f,Jerome Park Children's Fiction
jpj0h,Jerome Park Children's Holiday Book
jpj0i,Jerome Park Children's Picture Book
jpj0l,Jerome Park Children's World Languages
jpj0n,Jerome Park Children's Non-Fiction
jpj0t,Jerome Park Children's Fairy Tale
jpj0v,Jerome Park Children's Non-Print Media
jpj0y,Jerome Park Children's Young Reader
jpjr,Jerome Park Children's Reference
jpy,Jerome Park Young Adult
jpy01,Jerome Park YA Reference
jpy0f,Jerome Park YA Fiction
jpy0l,Jerome Park YA World Languages
jpy0n,Jerome Park YA Non-Fiction
jpy0v,Jerome Park YA Non-Print Media
jpyr,Jerome Park Young Adult Reference
jpzzz,Jerome Park (error code)
kb,Kingsbridge
kba,Kingsbridge Adult
kba01,Kingsbridge Reference
kba03,Kingsbridge Closed Shelf Reference
kba0f,Kingsbridge Fiction
kba0l,Kingsbridge World Languages
kba0n,Kingsbridge Non-Fiction
kba0v,Kingsbridge Non-Print Media
kbar,Kingsbridge Adult Reference
kbj,Kingsbridge Children
kbj01,Kingsbridge Children's Reference
kbj0a,Kingsbridge Children's Easy Book
kbj0f,Kingsbridge Children's Fiction
kbj0h,Kingsbridge Children's Holiday Book
kbj0i,Kingsbridge Children's Picture Book
kbj0l,Kingsbridge Children's World Languages
kbj0n,Kingsbridge Children's Non-Fiction
kbj0t,Kingsbridge Children's Fairy Tale
kbj0v,Kingsbridge Children's Non-Print Media
kbj0y,Kingsbridge Children's Young Reader
kbjr,Kingsbridge Children's Reference
kby,Kingsbridge Young Adult
kby01,Kingsbridge YA Reference
kby0f,Kingsbridge YA Fiction
kby0l,Kingsbridge YA World Languages
kby0n,Kingsbridge YA Non-Fiction
kby0v,Kingsbridge YA Non-Print Media
kbyr,Kingsbridge Young Adult Reference
kbzzz,Kingsbridge (error code)
kp,Kips Bay
kpa,Kips Bay Adult
kpa01,Kips Bay Reference
kpa03,Kips Bay Closed Shelf Reference
kpa0f,Kips Bay Fiction
kpa0l,Kips Bay World Languages
kpa0n,Kips Bay Non-Fiction
kpa0v,Kips Bay Non-Print Media
kpar,Kips Bay Adult Reference
kpj,Kips Bay Children
kpj01,Kips Bay Children's Reference
kpj0a,Kips Bay Children's Easy Book
kpj0f,Kips Bay Children's Fiction
kpj0h,Kips Bay Children's Holiday Book
kpj0i,Kips Bay Children's Picture Book
kpj0l,Kips Bay Children's World Languages
kpj0n,Kips Bay Children's Non-Fiction
kpj0t,Kips Bay Children's Fairy Tale
kpj0v,Kips Bay Children's Non-Print Media
kpj0y,Kips Bay Children's Young Reader
kpjr,Kips Bay Children's Reference
kpy,Kips Bay Young Adult
kpy01,Kips Bay YA Reference
kpy0f,Kips Bay YA Fiction
kpy0l,Kips Bay YA World Languages
kpy0n,Kips Bay YA Non-Fiction
kpy0v,Kips Bay YA Non-Print Media
kpyr,Kips Bay Young Adult Reference
kpzzz,Kips Bay (error code)
lb,Andrew Heiskell Braille & Talking Book Library
lba,Andrew Heiskell Adult
lba01,Andrew Heiskell Reference
lba03,Andrew Heiskell Closed Shelf Reference
lba0f,Andrew Heiskell Fiction
lba0l,Andrew Heiskell World Languages
lba0n,Andrew Heiskell Non-Fiction
lba0v,Andrew Heiskell Non-Print Media
lbar,Andrew Heiskell Adult Reference
lbj,Andrew Heiskell Children
lbj01,Andrew Heiskell Children's Reference
lbj0a,Andrew Heiskell Children's Easy Book
lbj0f,Andrew Heiskell Children's Fiction
lbj0h,Andrew Heiskell Children's Holiday Book
lbj0i,Andrew Heiskell Children's Picture Book
lbj0l,Andrew Heiskell Children's World Languages
lbj0n,Andrew Heiskell Children's Non-Fiction
lbj0t,Andrew Heiskell Children's Fairy Tale
lbj0v,Andrew Heiskell Children's Non-Print Media
lbj0y,Andrew Heiskell Children's Young Reader
lbjdf,Andrew Heiskell Children's Disabilities Collection Fiction
lbjdn,Andrew Heiskell Children's Disabilities Collection Non-Fiction
lbjr,Andrew Heiskell Children's Reference
lby,Andrew Heiskell Young Adult
lby01,Andrew Heiskell YA Reference
lby0f,Andrew Heiskell YA Fiction
lby0l,Andrew Heiskell YA World Languages
lby0n,Andrew Heiskell YA Non-Fiction
lby0v,Andrew Heiskell YA Non-Print Media
lbyr,Andrew Heiskell Young Adult Reference
lbzzz,Andrew Heiskell (error code)
lm,New Amsterdam
lma,New Amsterdam Adult
lma01,New Amsterdam Reference
lma03,New Amsterdam Closed Shelf Reference
lma0f,New Amsterdam Fiction
lma0l,New Amsterdam World Languages
lma0n,New Amsterdam Non-Fiction
lma0v,New Amsterdam Non-Print Media
lmar,New Amsterdam Adult Reference
lmj,New Amsterdam Children
lmj01,New Amsterdam Children's Reference
lmj0a,New Amsterdam Children's Easy Book
lmj0f,New Amsterdam Children's Fiction
lmj0h,New Amsterdam Children's Holiday Book
lmj0i,New Amsterdam Children's Picture Book
lmj0l,New Amsterdam Children's World Languages
lmj0n,New Amsterdam Children's Non-Fiction
lmj0t,New Amsterdam Children's Fairy Tale
lmj0v,New Amsterdam Children's Non-Print Media
lmj0y,New Amsterdam Children's Young Reader
lmjr,New Amsterdam Children's Reference
lmy,New Amsterdam Young Adult
lmy01,New Amsterdam YA Reference
lmy0f,New Amsterdam YA Fiction
lmy0l,New Amsterdam YA World Languages
lmy0n,New Amsterdam YA Non-Fiction
lmy0v,New Amsterdam YA Non-Print Media
lmyr,New Amsterdam Young Adult Reference
lmzzz,New Amsterdam (error code)
ls,Library Services Center
lsbb2,Library Services Center - Cataloging
lsbx2,Library Services Center - Cataloging - Research Storage
lscc2,Library Services Center - Central Holds Collection
lsdd2,Library Services Center - Special Formats Processing
lsedu,LSC -- Educator's Book Sets
lsx,Library Services Center - Preservation
lsxx2,Library Services Center - Preservation
lszzz,Library Services Center (error code)
ma,Stephen A. Schwarzman Building
maa,SASB - DO NOT USE
maa0f,SASB - DO NOT USE
maa0n,SASB - DO NOT USE
maa0v,SASB - DO NOT USE
mab,Schwarzman Building - Art & Architecture Rm 300
mab82,Schwarzman Building - Art & Architecture Rm 300 (BPSE)
mabb1,Schwarzman Building - Art Reference Rm 300
mabb2,Schwarzman Building - Art & Architecture Rm 300
mabb3,Schwarzman Building - Art - Desk Rm 300
mabm2,Schwarzman Building - Art & Architecture Rm 300
mac,Schwarzman Building - Arents Collection Rm 328
mac82,Schwarzman Building - Arents Collection Rm 328
macc2,Schwarzman Building - Arents Collection Rm 328
mae,Schwarzman Building - Berg Collection Rm 320
mae82,Schwarzman Building - Berg Collection Rm 320
maee2,Schwarzman Building - Berg Collection Rm 320
maf,Schwarzman Building - Dorot Jewish Division Rm 111
maf82,Schwarzman Building - Dorot Jewish Division Rm 111
maf88,Schwarzman Building - Dorot Jewish Division Rm 111
maff1,Schwarzman Building - Dorot Jewish Division Reference Rm 111
maff3,Schwarzman Building - Dorot Jewish Division - Desk Rm 111
mag,Schwarzman Building - Milstein Division Rm 121
mag82,Schwarzman Building - Milstein Division Rm 121
magg1,Schwarzman Building - Milstein Division Reference Rm 121
magg2,Schwarzman Building - Milstein Division - Mezzanine
magg3,Schwarzman Building - Milstein Division - Desk Rm 121
magh1,Schwarzman Building - Milstein Division Microforms Rm 119
mai,Schwarzman Building - Periodicals and Microforms Rm 100
mai82,Schwarzman Building - Periodicals and Microforms Rm 100
mai83,Schwarzman Building - Periodicals and Microforms Rm 100
mai87,Schwarzman Building - Periodicals and Microforms Rm 100
maii1,Schwarzman Building - Periodicals and Microforms Reference Rm 100
maii2,Schwarzman Building - Periodicals and Microforms Rm 100
maii3,Schwarzman Building - Periodicals and Microforms Reference Desk Rm 100
maj,Schwarzman Building - Children's Center Rm 84
maj01,Schwarzman Building (Children's Center at 42nd St.) - Reference Rm 84
maj03,Schwarzman Building Children's Non-Circulating - Main Reading Room 315
maj0a,Schwarzman Building (Children's Center at 42nd St.) - Easy Book Rm 84
maj0f,Schwarzman Building (Children's Center at 42nd St.) - Fiction Rm 84
maj0h,Schwarzman Building (Children's Center at 42nd St.) - Holiday Book Rm 84
maj0i,Schwarzman Building (Children's Center at 42nd St.) - Picture Book Rm 84
maj0l,Schwarzman Building (Children's Center at 42nd St.) - World Languages Rm 84
maj0n,Schwarzman Building (Children's Center at 42nd St.) - Non-Fiction Rm 84
maj0t,Schwarzman Building (Children's Center at 42nd St.) - Fairy Tale Rm 84
maj0v,Schwarzman Building (Children's Center at 42nd St.) - Non-Print Media Rm 84
maj0y,Schwarzman Building (Children's Center at 42nd St.) - Young Reader Rm 84
majr,Schwarzman Building (Children's Center at 42nd St.) - Reference Rm 84
mak,Schwarzman Building - Dewitt Wallace Room 108
makk3,Schwarzman Building - Dewitt Wallace Reference Desk Rm 108
mal,Schwarzman Building - Main Reading Room 315
mal82,Schwarzman Building - Main Reading Room 315
mala,SASB - Allen Scholar Room
malc,SASB - Cullman Center
mall1,Schwarzman Building - Main Reading Room 315 - Reference
malm2,Schwarzman Building - Main Reading Room 315 - Mezzanine
maln,SASB - Noma Scholar Room
maln1,Schwarzman Building - Shoichi Noma Global Studies Rm 219 - Reference
malv2,Schwarzman Building - Public Catalog Room 315
malw,SASB - Wertheim Scholar Room
malw1,Schwarzman Building - Wertheim Study Rm 228W - Reference
mao,Schwarzman Building - Manuscripts & Archives Rm 328
mao82,Schwarzman Building - Manuscripts & Archives Rm 328
maor2,Schwarzman Building - Manuscripts & Archives Rm 328
map,Schwarzman Building - Map Division - Rm 117
map82,Schwarzman Building - Map Division - Rm 117
mapp1,Schwarzman Building - Map Division Reference - Rm 117
mapp2,Schwarzman Building - Map Division - Rm 117
mapp3,Schwarzman Building - Map Division - Desk - Rm 117
maq,Schwarzman Building - Pforzheimer Collection Rm 319
maqq2,Schwarzman Building - Pforzheimer Collection Rm 319
mar,Schwarzman Building - Rare Book Collection Rm 328
mar62,Schwarzman Building - Rare Book Collection Rm 328
mar82,Schwarzman Building - Rare Book Collection Rm 328
mard2,Schwarzman Building - Rare Book Collection Rm 328
marr2,Schwarzman Building - Rare Book Collection Rm 328
mas,Schwarzman Building - Photography Collection Rm 308
mas82,Schwarzman Building - Art & Architecture Rm 300
masb2,Schwarzman Building - Photography Collection Rm 308
mass2,Schwarzman Building - Photography Collection Rm 308
masu2,Schwarzman Building - Photography Collection Rm 308
matel,Schwarzman Building - Telephone Reference
mau,Schwarzman Building - Print Collection Rm 308
mauu1,Schwarzman Building - Print Collection Reference Rm 308
mauu2,Schwarzman Building - Print Collection Rm 308
max82,Schwarzman Building - Printing Masters
may,SASB - DO NOT USE
mazzz,Schwarzman Building - (error code)
mb,Macomb's Bridge
mba,Macomb's Bridge Adult
mba01,Macomb's Bridge Reference
mba03,Macomb's Bridge Closed Shelf Reference
mba0f,Macomb's Bridge Fiction
mba0l,Macomb's Bridge World Languages
mba0n,Macomb's Bridge Non-Fiction
mba0v,Macomb's Bridge Non-Print Media
mbar,Macomb's Bridge Adult Reference
mbj,Macomb's Bridge Children
mbj01,Macomb's Bridge Children's Reference
mbj0a,Macomb's Bridge Children's Easy Book
mbj0f,Macomb's Bridge Children's Fiction
mbj0h,Macomb's Bridge Children's Holiday Book
mbj0i,Macomb's Bridge Children's Picture Book
mbj0l,Macomb's Bridge Children's World Languages
mbj0n,Macomb's Bridge Children's Non-Fiction
mbj0t,Macomb's Bridge Children's Fairy Tale
mbj0v,Macomb's Bridge Children's Non-Print Media
mbj0y,Macomb's Bridge Children's Young Reader
mbjr,Macomb's Bridge Children's Reference
mby,Macomb's Bridge Young Adult
mby01,Macomb's Bridge YA Reference
mby0f,Macomb's Bridge YA Fiction
mby0l,Macomb's Bridge YA World Languages
mby0n,Macomb's Bridge YA Non-Fiction
mby0v,Macomb's Bridge YA Non-Print Media
mbyr,Macomb's Bridge Young Adult Reference
mbzzz,Macomb's Bridge (error code)
me,Melrose
mea,Melrose Adult
mea01,Melrose Reference
mea03,Melrose Closed Shelf Reference
mea0f,Melrose Fiction
mea0l,Melrose World Languages
mea0n,Melrose Non-Fiction
mea0v,Melrose Non-Print Media
mear,Melrose Adult Reference
mej,Melrose Children
mej01,Melrose Children's Reference
mej0a,Melrose Children's Easy Book
mej0f,Melrose Children's Fiction
mej0h,Melrose Children's Holiday Book
mej0i,Melrose Children's Picture Book
mej0l,Melrose Children's World Languages
mej0n,Melrose Children's Non-Fiction
mej0t,Melrose Children's Fairy Tale
mej0v,Melrose Children's Non-Print Media
mej0y,Melrose Children's Young Reader
mejr,Melrose Children's Reference
mey,Melrose Young Adult
mey01,Melrose YA Reference
mey0f,Melrose YA Fiction
mey0l,Melrose YA World Languages
mey0n,Melrose YA Non-Fiction
mey0v,Melrose YA Non-Print Media
meyr,Melrose Young Adult Reference
mezzz,Melrose (error code)
mh,Mott Haven
mha,Mott Haven Adult
mha01,Mott Haven Reference
mha03,Mott Haven Closed Shelf Reference
mha0f,Mott Haven Fiction
mha0l,Mott Haven World Languages
mha0n,Mott Haven Non-Fiction
mha0v,Mott Haven Non-Print Media
mhar,Mott Haven Adult Reference
mhj,Mott Haven Children
mhj01,Mott Haven Children's Reference
mhj0a,Mott Haven Children's Easy Book
mhj0f,Mott Haven Children's Fiction
mhj0h,Mott Haven Children's Holiday Book
mhj0i,Mott Haven Children's Picture Book
mhj0l,Mott Haven Children's World Languages
mhj0n,Mott Haven Children's Non-Fiction
mhj0t,Mott Haven Children's Fairy Tale
mhj0v,Mott Haven Children's Non-Print Media
mhj0y,Mott Haven Children's Young Reader
mhjr,Mott Haven Children's Reference
mhy,Mott Haven Young Adult
mhy01,Mott Haven YA Reference
mhy0f,Mott Haven YA Fiction
mhy0l,Mott Haven YA World Languages
mhy0n,Mott Haven YA Non-Fiction
mhy0v,Mott Haven YA Non-Print Media
mhyr,Mott Haven Young Adult Reference
mhzzz,Mott Haven (error code)
ml,Mulberry Street
mla,Mulberry Street Adult
mla01,Mulberry Street Reference
mla03,Mulberry Street Closed Shelf Reference
mla0f,Mulberry Street Fiction
mla0l,Mulberry Street World Languages
mla0n,Mulberry Street Non-Fiction
mla0v,Mulberry Street Non-Print Media
mlar,Mulberry Street Adult Reference
mlj,Mulberry Street Children
mlj01,Mulberry Street Children's Reference
mlj0a,Mulberry Street Children's Easy Book
mlj0f,Mulberry Street Children's Fiction
mlj0h,Mulberry Street Children's Holiday Book
mlj0i,Mulberry Street Children's Picture Book
mlj0l,Mulberry Street Children's World Languages
mlj0n,Mulberry Street Children's Non-Fiction
mlj0t,Mulberry Street Children's Fairy Tale
mlj0v,Mulberry Street Children's Non-Print Media
mlj0y,Mulberry Street Children's Young Reader
mljr,Mulberry Street Children's Reference
mly,Mulberry Street Young Adult
mly01,Mulberry Street YA Reference
